"";"CrossVal";"VarSel";"numGenes";"Classif";"misclassification";"sensitivity";"specificity"
"1";"fiveF";"tttest";2;"dldaCMA";0,035;0,96;0,969
"2";"fiveF";"tttest";2;"knnCMA";0,0416666666666667;0,955;0,96
"3";"fiveF";"tttest";2;"rfCMA";0,0444444444444444;0,95;0,959
"4";"fiveF";"tttest";2;"scdaCMA";0,035;0,96;0,969
"5";"fiveF";"tttest";2;"svmCMA";0,0302777777777778;0,965;0,973
"6";"fiveF";"tttest";5;"dldaCMA";0;1;1
"7";"fiveF";"tttest";5;"knnCMA";0,0141666666666667;1;0,973
"8";"fiveF";"tttest";5;"rfCMA";0,0180555555555556;0,98;0,984
"9";"fiveF";"tttest";5;"scdaCMA";0;1;1
"10";"fiveF";"tttest";5;"svmCMA";0;1;1
"11";"fiveF";"tttest";10;"dldaCMA";0,0025;1;0,995
"12";"fiveF";"tttest";10;"knnCMA";0;1;1
"13";"fiveF";"tttest";10;"rfCMA";0,0136111111111111;0,98;0,991
"14";"fiveF";"tttest";10;"scdaCMA";0,0025;1;0,995
"15";"fiveF";"tttest";10;"svmCMA";0;1;1
"16";"fiveF";"tttest";25;"dldaCMA";0,0302777777777778;0,975;0,965
"17";"fiveF";"tttest";25;"knnCMA";0,0391666666666667;0,965;0,956
"18";"fiveF";"tttest";25;"rfCMA";0,0508333333333333;0,94;0,956
"19";"fiveF";"tttest";25;"scdaCMA";0,0302777777777778;0,975;0,965
"20";"fiveF";"tttest";25;"svmCMA";0,035;0,97;0,961
"21";"fiveF";"rfe";2;"dldaCMA";0,0188888888888889;1;0,964
"22";"fiveF";"rfe";2;"knnCMA";0,0211111111111111;0,99;0,969
"23";"fiveF";"rfe";2;"rfCMA";0,0280555555555556;0,97;0,973
"24";"fiveF";"rfe";2;"scdaCMA";0,0188888888888889;1;0,964
"25";"fiveF";"rfe";2;"svmCMA";0,0141666666666667;0,99;0,982
"26";"fiveF";"rfe";5;"dldaCMA";0,00472222222222222;1;0,991
"27";"fiveF";"rfe";5;"knnCMA";0,00222222222222222;1;0,996
"28";"fiveF";"rfe";5;"rfCMA";0,0205555555555556;0,975;0,982
"29";"fiveF";"rfe";5;"scdaCMA";0,00472222222222222;1;0,991
"30";"fiveF";"rfe";5;"svmCMA";0,00222222222222222;1;0,996
"31";"fiveF";"rfe";10;"dldaCMA";0,0306666666666667;0,974285714285714;0,965
"32";"fiveF";"rfe";10;"knnCMA";0,0346666666666667;0,968571428571429;0,9625
"33";"fiveF";"rfe";10;"rfCMA";0,0306666666666667;0,968571428571429;0,97
"34";"fiveF";"rfe";10;"scdaCMA";0,0306666666666667;0,974285714285714;0,965
"35";"fiveF";"rfe";10;"svmCMA";0,0213333333333333;0,977142857142857;0,98
"36";"fiveF";"rfe";25;"dldaCMA";0,00266666666666667;1;0,995
"37";"fiveF";"rfe";25;"knnCMA";0,0133333333333333;0,997142857142857;0,9775
"38";"fiveF";"rfe";25;"rfCMA";0,0133333333333333;0,98;0,9925
"39";"fiveF";"rfe";25;"scdaCMA";0,00266666666666667;1;0,995
"40";"fiveF";"rfe";25;"svmCMA";0,00133333333333333;0,997142857142857;1
"41";"fiveF";"lasso";2;"dldaCMA";0,00266666666666667;1;0,995
"42";"fiveF";"lasso";2;"knnCMA";0;1;1
"43";"fiveF";"lasso";2;"rfCMA";0,00666666666666667;0,988571428571429;0,9975
"44";"fiveF";"lasso";2;"scdaCMA";0,00266666666666667;1;0,995
"45";"fiveF";"lasso";2;"svmCMA";0;1;1
"46";"fiveF";"lasso";5;"dldaCMA";0,0293333333333333;0,974285714285714;0,9675
"47";"fiveF";"lasso";5;"knnCMA";0,0346666666666667;0,971428571428571;0,96
"48";"fiveF";"lasso";5;"rfCMA";0,0413333333333333;0,962857142857143;0,955
"49";"fiveF";"lasso";5;"scdaCMA";0,0293333333333333;0,974285714285714;0,9675
"50";"fiveF";"lasso";5;"svmCMA";0,024;0,977142857142857;0,975
"51";"fiveF";"lasso";10;"dldaCMA";0,0186666666666667;0,994285714285714;0,97
"52";"fiveF";"lasso";10;"knnCMA";0,0173333333333333;0,991428571428571;0,975
"53";"fiveF";"lasso";10;"rfCMA";0,028;0,974285714285714;0,97
"54";"fiveF";"lasso";10;"scdaCMA";0,0186666666666667;0,994285714285714;0,97
"55";"fiveF";"lasso";10;"svmCMA";0,012;0,991428571428571;0,985
"56";"fiveF";"lasso";25;"dldaCMA";0,0106666666666667;1;0,98
"57";"fiveF";"lasso";25;"knnCMA";0,00266666666666667;1;0,995
"58";"fiveF";"lasso";25;"rfCMA";0,012;0,985714285714286;0,99
"59";"fiveF";"lasso";25;"scdaCMA";0,0106666666666667;1;0,98
"60";"fiveF";"lasso";25;"svmCMA";0,00266666666666667;1;0,995
"61";"mccv";"tttest";2;"dldaCMA";0,035;0,96;0,969
"62";"mccv";"tttest";2;"knnCMA";0,0416666666666667;0,955;0,96
"63";"mccv";"tttest";2;"rfCMA";0,0444444444444444;0,95;0,959
"64";"mccv";"tttest";2;"scdaCMA";0,035;0,96;0,969
"65";"mccv";"tttest";2;"svmCMA";0,0302777777777778;0,965;0,973
"66";"mccv";"tttest";5;"dldaCMA";0;1;1
