"";"CrossVal";"VarSel";"numGenes";"Classif";"misclassification";"sensitivity";"specificity"
"70";"mccv";"tttest";5;"svmCMA";0,000222222222222222;0,9995;1
"71";"mccv";"tttest";10;"dldaCMA";0,000222222222222222;1;0,9996
"72";"mccv";"tttest";10;"knnCMA";0;1;1
"73";"mccv";"tttest";10;"rfCMA";0,00838888888888889;0,985;0,9974
"74";"mccv";"tttest";10;"scdaCMA";0,000222222222222222;1;0,9996
"75";"mccv";"tttest";10;"svmCMA";0;1;1
"76";"mccv";"tttest";25;"dldaCMA";0,0225;0,9835;0,9722
"77";"mccv";"tttest";25;"knnCMA";0,0292222222222222;0,9815;0,9614
"78";"mccv";"tttest";25;"rfCMA";0,04225;0,9685;0,9484
"79";"mccv";"tttest";25;"scdaCMA";0,0227222222222222;0,9835;0,9718
"80";"mccv";"tttest";25;"svmCMA";0,0193055555555556;0,982;0,9795
"81";"mccv";"rfe";2;"dldaCMA";0,00725;0,9975;0,9887
"82";"mccv";"rfe";2;"knnCMA";0,0148611111111111;0,9955;0,976
"83";"mccv";"rfe";2;"rfCMA";0,0249166666666667;0,974;0,976
"84";"mccv";"rfe";2;"scdaCMA";0,00725;0,9975;0,9887
"85";"mccv";"rfe";2;"svmCMA";0,00611111111111111;0,9945;0,9936
"86";"mccv";"rfe";5;"dldaCMA";0,00166666666666667;1;0,9968
"87";"mccv";"rfe";5;"knnCMA";0,000722222222222222;1;0,9986
"88";"mccv";"rfe";5;"rfCMA";0,0105;0,9835;0,9949
"89";"mccv";"rfe";5;"scdaCMA";0,00166666666666667;1;0,9968
"90";"mccv";"rfe";5;"svmCMA";0,000916666666666667;1;0,9983
"91";"mccv";"rfe";10;"dldaCMA";0,0212;0,980571428571429;0,97725
"92";"mccv";"rfe";10;"knnCMA";0,0292;0,973714285714286;0,96825
"93";"mccv";"rfe";10;"rfCMA";0,0344;0,964571428571429;0,9665
"94";"mccv";"rfe";10;"scdaCMA";0,0212;0,980571428571429;0,97725
"95";"mccv";"rfe";10;"svmCMA";0,0204;0,976857142857143;0,982
"96";"mccv";"rfe";25;"dldaCMA";0,002;0,997142857142857;0,99875
"97";"mccv";"rfe";25;"knnCMA";0,0112;0,997142857142857;0,9815
"98";"mccv";"rfe";25;"rfCMA";0,0142666666666667;0,980571428571429;0,99025
"99";"mccv";"rfe";25;"scdaCMA";0,002;0,997142857142857;0,99875
"100";"mccv";"rfe";25;"svmCMA";0,0024;0,996857142857143;0,99825
"101";"mccv";"lasso";2;"dldaCMA";0,00173333333333333;1;0,99675
"102";"mccv";"lasso";2;"knnCMA";0,000533333333333333;1;0,999
"103";"mccv";"lasso";2;"rfCMA";0,00653333333333333;0,991428571428571;0,99525
"104";"mccv";"lasso";2;"scdaCMA";0,00173333333333333;1;0,99675
"105";"mccv";"lasso";2;"svmCMA";0,000533333333333333;1;0,999
"106";"mccv";"lasso";5;"dldaCMA";0,0201333333333333;0,986857142857143;0,97375
"107";"mccv";"lasso";5;"knnCMA";0,0285333333333333;0,98;0,964
"108";"mccv";"lasso";5;"rfCMA";0,0388;0,966571428571429;0,9565
"109";"mccv";"lasso";5;"scdaCMA";0,02;0,987142857142857;0,97375
"110";"mccv";"lasso";5;"svmCMA";0,0182666666666667;0,983142857142857;0,9805
"111";"mccv";"lasso";10;"dldaCMA";0,0092;0,996571428571429;0,98575
"112";"mccv";"lasso";10;"knnCMA";0,0137333333333333;0,994857142857143;0,97875
"113";"mccv";"lasso";10;"rfCMA";0,0190666666666667;0,980857142857143;0,981
"114";"mccv";"lasso";10;"scdaCMA";0,0092;0,996571428571429;0,98575
"115";"mccv";"lasso";10;"svmCMA";0,00826666666666667;0,994;0,98975
"116";"mccv";"lasso";25;"dldaCMA";0,0044;1;0,99175
"117";"mccv";"lasso";25;"knnCMA";0,00253333333333333;0,999714285714286;0,9955
"118";"mccv";"lasso";25;"rfCMA";0,00893333333333333;0,989428571428571;0,9925
"119";"mccv";"lasso";25;"scdaCMA";0,0044;1;0,99175
"120";"mccv";"lasso";25;"svmCMA";0,0024;0,999714285714286;0,99575
